station,full_address,lat,lon
Kivikko Health Station,Kivikonkaari 21 00940 Helsinki,60.2397086,25.0744115
Kontula Health Station,Ostoskuja 3 00940 Helsinki,60.23771365,25.08416176830647
Laajasalo Health Station,Koulutanhua 2 A 00840 Helsinki,60.1784631,25.054980787028835
Lauttasaari Health Station,Taivaanvuohentie 6 00200 Helsinki,60.1613498,24.8828111
Malmi Health Station,Talvelantie 4 00700 Helsinki,60.25400385,25.00129463257292
Paloheinä Health Station,Paloheinäntie 22 00670 Helsinki,60.249305,24.9412671
Pihlajamäki Health Station,Meripihkatie 8 00710 Helsinki,60.234294250000005,25.00995013244603
Pitäjänmäki Health Station,Konalantie 6-8 C 00370 Helsinki,60.2262555,24.8543822
Puistola Health Station,Ajurinaukio 1 00750 Helsinki,60.2747892,25.0347647
Ruoholahti Health Station,Tallberginkatu 2 00180 Helsinki,60.1625137,24.9027222
Suutarila Health Station,Suutarilantie 32 00740 Helsinki,60.2748353,24.9977789
Viiskulma Health Station,Pursimiehenkatu 4 00150 Helsinki,60.1603616,24.9408627
Vuosaari Health Station,Kahvikuja 3 00980 Helsinki,60.2061581,25.146376
Malminkartano Health Station,Luutnantintie 12-14 00410 Helsinki,60.24728205,24.86448651945426
Maunula Health Station,Suursuonlaita 3 A 00630 Helsinki,60.2341948,24.9315056
Munkkiniemi Health Station,Laajalahdentie 30 00330 Helsinki,60.2003944,24.8765027
Myllypuro Health Station,Jauhokuja 4 00920 Helsinki,60.2258708,25.0765288
Oulunkylä Health Station,Kylänvanhimmantie 25 00640 Helsinki,60.2281499,24.964684
Haaga Health Station,Huovitie 5 00400 Helsinki,60.2221249,24.9042978
Jakomäki Health Station,Vuorensyrjä 8 00770 Helsinki,60.26020985,25.07527608581412
Kalasatama Health Station,Työpajankatu 14 A 00580 Helsinki,60.18796815,24.980610143381604
Kannelmäki Health Station,Laulukuja 4 00420 Helsinki,60.2379675,24.88982930983478
Kivelä Health Station,Sibeliuksenkatu 14 00260 Helsinki,60.17940655,24.917096377128
